STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2011,,501351,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2012,,452804,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2013,,434137,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2014,,435834,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2015,,416177,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2016,,413752,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2017,,406137,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2018,,393352,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2019,,380631,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2020,,403537,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2021,,405195,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2022,,395438,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2023,,361630,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2000,,1575300,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2001,,1489480,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2002,,1436177,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2003,,1391418,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2004,,1357841,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2005,,1308210,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2006,,1277340,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2007,,1280197,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2008,,1265949,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2009,,1242690,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2010,,1225437,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2011,,1226214,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2012,,1199660,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2013,,1169964,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2014,,1144881,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2015,,1127356,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2016,,1103561,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2017,,1060775,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2018,,1047303,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2019,,1016062,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2020,,971364,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2021,,980111,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2022,,969462,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,DE,Germany,2023,,951254,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2000,,1992409,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2001,,2007718,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2002,,1982136,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2003,,1942432,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2004,,1888725,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2005,,1831585,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2006,,1732928,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2007,,1689664,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2008,,1626880,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2009,,1555916,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2010,,1551831,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2011,,1532619,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2012,,1494593,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2013,,1468367,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2014,,1468763,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2015,,1467630,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2016,,1527666,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2017,,1562339,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2018,,1542424,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2019,,1506694,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2020,,1461849,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2021,,1515257,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2022,,1478600,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,ES,Spain,2023,,1447339,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2000,,473226,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2001,,455421,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2002,,452433,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2003,,426488,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2004,,424273,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2005,,418057,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2006,,407102,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2007,,401379,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2008,,399653,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2009,,396055,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2010,,389735,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2011,,386319,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2012,,380057,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2013,,378874,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2014,,382764,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2015,,378509,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2016,,389738,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2017,,397857,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2018,,401167,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2019,,409046,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2020,,400406,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2021,,397606,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2022,,386547,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,NL,Netherlands,2023,,384798,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2000,,1106379,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2001,,1105190,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2002,,1053778,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2003,,1047143,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2004,,996113,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2005,,969704,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2006,,923523,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2007,,925962,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2008,,898947,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2009,,872224,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2010,,797923,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,PT,Portugal,2011,,723890,,,,,
